"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/27/2020","AQS","390130006","1","5","ppb","5","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/28/2020","AQS","390130006","1","7","ppb","7","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/29/2020","AQS","390130006","1","17","ppb","16","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/30/2020","AQS","390130006","1","16","ppb","15","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/31/2020","AQS","390130006","1","22","ppb","21","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/01/2020","AQS","390130006","1","19","ppb","18","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/02/2020","AQS","390130006","1","13","ppb","12","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/03/2020","AQS","390130006","1","25","ppb","24","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/04/2020","AQS","390130006","1","21","ppb","20","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/05/2020","AQS","390130006","1","9","ppb","8","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
